Make,Model,Production Year,Date of Sale,Sold Price,Gearbox,Description,Auction House,Country of Sale,Spyder,LHD_RHD,URL
Mercedes-Benz,300SEL 3.5 V8 (W109),1972,6 Aug 2025,"£12,000 - £14,000",Automatic,"Just two owners since 1988, the current for 21 years; lots of history; recently recommissioned following 17 years in storage; a rare and imposing long-wheelbase air suspension Merc from the era of ‘peak Benz’Introduced in 1965, the W108 and 109 Series Mercedes S-Class was hailed by contemporary motoring journalists as the finest luxury saloon in the world.Allied to bank vault build quality was an aura of restrained Teutonic opulence that made it an instant hit with the diplomatic corps from Moscow to Mombasa.The mix of chrome, wood and leather still oozes a cigars and champagne class that makes you feel like a Cold War dictator every time you slip behind the wheel.The two chassis designations referred to the vehicle's suspension system: 109s had self-leveling air suspension while the 108 had coil springs on all four wheels.The smallest engine available was the 2.5-litre straight-six in the 250S and 250SE models, and the largest was the 6.3 V8 in the vastly expensive 300SEL 6.3, t...",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mercedes-benz-w109-300-sel-b5e636
Alfa,Romeo Alfasud 1.5 Super,1979,6 Aug 2025,"£6,500 - £7,500",Manual,"Classic 1979 Alfa Romeo Alfasud with low mileage (48,350) and only three owners, recently recommissioned and in remarkably good condition. It features a 5-speed gearbox and a advisory-free MOT until March 2026, making it a rare survivor.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-alfa-romeo-alfasud-3c0502
Audi,A8 SE Executive TDi Quattro (D4),2014,6 Aug 2025,"£11,000 - £13,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-audi-a8-746ec4
Morris,Minor,1958,6 Aug 2025,"£4,000 - £4,500",Manual,"This 1958 Morris Minor has a 1600cc engine and is described as being in a 'use-and-improve' condition, suggesting it needs some work. It is offered with spares and is described as 'charming' and suitable as a daily driver.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-morris-minor-1000-unspecified-c5fc2a
Land,Rover Series IIa 109in,1971,6 Aug 2025,"£10,000 - £12,000",Manual,"This 1978 Series IIA Land Rover 109"" long wheelbase is bronze green with a limestone roof. It features a diesel engine with an engine rebuild in 2015, Rover style seats, and is eligible for the Italian Job charity run.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-land-rover-series-iia-109-8285ff
Vauxhall,Corsa Trip 12V,1999,6 Aug 2025,"£1,500 - £2,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-vauxhall-corsa-052114
Jaguar,XKR Auto,2003,6 Aug 2025,"£5,000 - £6,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-xkr-99eae7
Alfa,Romeo Spider 2.2 JTS LE,2008,6 Aug 2025,"£6,500 - £7,500",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-alfa-romeo-brera-spider-3c1332
Vauxhall,Calibra SE8 2.0L 16V Limited Edition,1998,6 Aug 2025,"£2,000 - £3,000",Manual,"This is a rare, one-owner 1998 Vauxhall Calibra SE8 Limited Edition with a 2.0L engine and extensive service history. While it has high mileage, it appears to be well-maintained and comes with original documentation.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-vauxhall-calibra-45b982
Toyota,Celica GT-Four ST185,1994,6 Aug 2025,"£8,000 - £10,000",Manual,"This 1994 Toyota Celica GT-4 ST185, a WRC icon, was UK road registered in 2004 and has had only three previous UK keepers. It features Compomotive alloy wheels, pop-up headlights, and benefits from a recent advisory-free MOT, though some reconditioning may be required.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-toyota-celica-gt-four-c9db2b
